Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
SK Telecom T1	S7	KR	139	69.8%	1.34	1888	176	35:02	12.6	9.4	7.4	4.8	49.6	49.6	2.19	64.6	-	0.37	57.1	0.55	0.1	438	-	0.90	63.6	33.4	1987	3.4	0.79	1.43
Snake Esports	S7	CN	81	39.5%	0.86	1779	-46	36:46	11.3	13.1	5.8	7.4	-	-	1.63	45.1	-	-	-	-	-	-	-	-	-	32.0	-	-	-	-
Splyce	S7	EUW	72	51.4%	1.05	1810	19	35:13	13.9	13.2	6.0	6.1	36.1	61.1	1.13	39.0	-	0.24	45.9	0.21	0.0	227	-	0.56	44.6	31.8	2050	3.6	0.93	1.32
Suning Gaming	S7	CN	43	41.9%	0.99	1776	-37	37:07	11.0	11.0	5.9	6.7	-	-	1.72	43.4	-	-	-	-	-	-	-	-	-	32.4	-	-	-	-
SuperMassive	S7	TR	17	52.9%	0.86	1753	-41	33:35	13.2	15.4	6.3	5.6	29.4	64.7	1.94	60.8	-	0.06	20.0	0.41	0.4	-381	-	0.59	51.4	29.3	2072	3.4	0.97	1.25
T Show	S7	BR	14	0.0%	0.36	1555	-409	36:22	5.9	16.4	2.1	9.7	14.3	7.1	0.86	22.7	-	0.07	9.1	0.21	-1.1	-2452	-	0.14	9.5	30.8	1688	3.5	1.29	1.25
Team Aurora	S7	TR	4	75.0%	1.68	1960	286	29:15	17.3	10.3	7.8	3.8	75.0	25.0	1.50	60.4	-	0.50	66.7	0.75	2.0	3788	-	0.50	66.7	29.8	2285	3.0	0.74	1.04
Team EnVyUs	S7	NA	110	40.0%	0.98	1802	12	37:53	12.0	12.2	5.8	6.7	53.6	60.9	1.80	47.5	-	0.23	53.2	0.38	0.1	714	-	0.69	42.4	32.8	1901	3.6	1.03	1.53
Team Gates	S7	NA	10	0.0%	0.46	1547	-466	35:27	7.2	15.6	1.3	10.0	50.0	10.0	0.90	19.7	-	0.00	0.0	0.30	-1.2	-3467	-	0.30	9.2	29.8	1393	3.1	0.77	1.05
Team Just Alpha	S7	CIS	33	45.5%	1.04	1741	-49	35:18	13.5	12.9	5.6	6.5	51.5	45.5	1.18	32.7	-	0.39	59.1	0.24	-0.4	-415	-	0.64	43.8	30.0	1872	3.4	0.88	1.17
Team Kinguin	S7	EUW	10	30.0%	0.64	1634	-198	35:17	9.1	14.3	5.2	7.1	30.0	30.0	1.50	45.8	-	0.00	0.0	0.30	-0.2	-1291	-	0.40	30.0	29.2	1827	3.8	1.09	1.26
Team Liquid	S7	NA	115	40.0%	0.95	1751	-65	35:10	12.5	13.1	5.5	7.0	53.0	50.4	1.36	39.8	-	0.21	43.6	0.38	0.0	-313	-	0.57	41.4	30.9	1919	3.6	1.03	1.18
Team oNe eSports	S7	BR	32	56.3%	0.87	1776	-20	34:20	10.6	12.1	6.8	6.1	59.4	43.8	2.00	57.6	-	0.44	53.8	0.72	-0.4	-505	-	0.84	49.5	30.7	1792	3.4	1.04	1.03
Team Roccat	S7	EUW	64	43.8%	0.80	1763	-77	36:50	11.2	14.0	6.4	7.0	42.2	39.1	1.50	44.1	-	0.16	29.4	0.41	-0.2	-644	-	0.73	42.6	31.4	1869	3.6	0.98	1.20
